"timestamp","kwh"
"2015-01-01 00:00:00",8.899
"2015-01-01 00:15:00",8.87
"2015-01-01 00:30:00",9.053
"2015-01-01 00:45:00",8.746
"2015-01-01 01:00:00",8.688
"2015-01-01 01:15:00",9.062
"2015-01-01 01:30:00",9.005
"2015-01-01 01:45:00",8.698
"2015-01-01 02:00:00",8.784
"2015-01-01 02:15:00",9.274
"2015-01-01 02:30:00",8.842
"2015-01-01 02:45:00",8.822
"2015-01-01 03:00:00",8.966
"2015-01-01 03:15:00",9.072
"2015-01-01 03:30:00",8.87
"2015-01-01 03:45:00",8.746
"2015-01-01 04:00:00",8.842
"2015-01-01 04:15:00",8.899
"2015-01-01 04:30:00",8.899
"2015-01-01 04:45:00",8.918
"2015-01-01 05:00:00",8.928
"2015-01-01 05:15:00",8.995
"2015-01-01 05:30:00",9.101
"2015-01-01 05:45:00",8.746
"2015-01-01 06:00:00",8.813
"2015-01-01 06:15:00",8.64
"2015-01-01 06:30:00",8.986
"2015-01-01 06:45:00",8.765
"2015-01-01 07:00:00",8.63
"2015-01-01 07:15:00",8.966
"2015-01-01 07:30:00",8.621
"2015-01-01 07:45:00",8.995
"2015-01-01 08:00:00",8.88
"2015-01-01 08:15:00",8.486
"2015-01-01 08:30:00",8.65
"2015-01-01 08:45:00",8.909
"2015-01-01 09:00:00",8.966
"2015-01-01 09:15:00",8.506
"2015-01-01 09:30:00",8.803
"2015-01-01 09:45:00",8.698
"2015-01-01 10:00:00",8.64
"2015-01-01 10:15:00",9.062
"2015-01-01 10:30:00",8.544
"2015-01-01 10:45:00",8.678
"2015-01-01 11:00:00",8.64
"2015-01-01 11:15:00",8.851
"2015-01-01 11:30:00",8.822
"2015-01-01 11:45:00",8.707
"2015-01-01 12:00:00",8.746
"2015-01-01 12:15:00",8.851
"2015-01-01 12:30:00",8.726
"2015-01-01 12:45:00",8.746
"2015-01-01 13:00:00",8.726
"2015-01-01 13:15:00",8.909
"2015-01-01 13:30:00",8.621
"2015-01-01 13:45:00",8.976
"2015-01-01 14:00:00",8.611
"2015-01-01 14:15:00",8.89
"2015-01-01 14:30:00",8.861
"2015-01-01 14:45:00",8.621
"2015-01-01 15:00:00",8.563
"2015-01-01 15:15:00",8.928
"2015-01-01 15:30:00",8.765
"2015-01-01 15:45:00",8.678
"2015-01-01 16:00:00",8.659
"2015-01-01 16:15:00",8.688
"2015-01-01 16:30:00",8.64
"2015-01-01 16:45:00",8.698
"2015-01-01 17:00:00",9.11
"2015-01-01 17:15:00",8.755
"2015-01-01 17:30:00",8.63
"2015-01-01 17:45:00",8.726
"2015-01-01 18:00:00",9.005
"2015-01-01 18:15:00",8.698
"2015-01-01 18:30:00",8.688
"2015-01-01 18:45:00",9.254
"2015-01-01 19:00:00",8.746
"2015-01-01 19:15:00",8.822
"2015-01-01 19:30:00",9.053
"2015-01-01 19:45:00",9.197
"2015-01-01 20:00:00",8.659
"2015-01-01 20:15:00",8.669
"2015-01-01 20:30:00",8.822
"2015-01-01 20:45:00",9.072
"2015-01-01 21:00:00",8.784
"2015-01-01 21:15:00",8.813
"2015-01-01 21:30:00",8.851
"2015-01-01 21:45:00",8.774
"2015-01-01 22:00:00",9.062
"2015-01-01 22:15:00",8.784
"2015-01-01 22:30:00",8.659
"2015-01-01 22:45:00",8.63
"2015-01-01 23:00:00",8.707
"2015-01-01 23:15:00",8.89
"2015-01-01 23:30:00",8.659
"2015-01-01 23:45:00",8.707
"2015-01-02 00:00:00",8.621
"2015-01-02 00:15:00",8.784
"2015-01-02 00:30:00",8.861
"2015-01-02 00:45:00",8.554
"2015-01-02 01:00:00",9.11
"2015-01-02 01:15:00",8.63
"2015-01-02 01:30:00",8.64
"2015-01-02 01:45:00",8.957
"2015-01-02 02:00:00",8.525
"2015-01-02 02:15:00",8.803
"2015-01-02 02:30:00",8.755
"2015-01-02 02:45:00",8.832
"2015-01-02 03:00:00",9.418
"2015-01-02 03:15:00",8.966
"2015-01-02 03:30:00",8.746
"2015-01-02 03:45:00",8.803
"2015-01-02 04:00:00",8.947
"2015-01-02 04:15:00",8.688
"2015-01-02 04:30:00",8.794
"2015-01-02 04:45:00",8.784
"2015-01-02 05:00:00",8.64
"2015-01-02 05:15:00",9.062
"2015-01-02 05:30:00",8.832
"2015-01-02 05:45:00",8.794
"2015-01-02 06:00:00",8.755
"2015-01-02 06:15:00",8.726
"2015-01-02 06:30:00",8.803
"2015-01-02 06:45:00",8.842
"2015-01-02 07:00:00",8.678
"2015-01-02 07:15:00",8.707
"2015-01-02 07:30:00",8.678
"2015-01-02 07:45:00",8.698
"2015-01-02 08:00:00",8.669
"2015-01-02 08:15:00",8.784
"2015-01-02 08:30:00",8.774
"2015-01-02 08:45:00",8.592
"2015-01-02 09:00:00",8.717
"2015-01-02 09:15:00",8.813
"2015-01-02 09:30:00",8.582
"2015-01-02 09:45:00",8.65
"2015-01-02 10:00:00",9.13
"2015-01-02 10:15:00",8.707
"2015-01-02 10:30:00",8.851
"2015-01-02 10:45:00",8.573
"2015-01-02 11:00:00",8.678
"2015-01-02 11:15:00",8.582
"2015-01-02 11:30:00",9.024
"2015-01-02 11:45:00",10.886
"2015-01-02 12:00:00",11.885
"2015-01-02 12:15:00",11.242
"2015-01-02 12:30:00",11.347
"2015-01-02 12:45:00",10.877
"2015-01-02 13:00:00",11.242
"2015-01-02 13:15:00",10.138
"2015-01-02 13:30:00",9.6
"2015-01-02 13:45:00",9.168
"2015-01-02 14:00:00",9.149
"2015-01-02 14:15:00",8.957
"2015-01-02 14:30:00",8.938
"2015-01-02 14:45:00",9.235
"2015-01-02 15:00:00",8.928
"2015-01-02 15:15:00",8.736
"2015-01-02 15:30:00",8.506
"2015-01-02 15:45:00",8.822
"2015-01-02 16:00:00",8.928
"2015-01-02 16:15:00",8.669
"2015-01-02 16:30:00",8.621
"2015-01-02 16:45:00",8.88
"2015-01-02 17:00:00",8.794
"2015-01-02 17:15:00",8.938
"2015-01-02 17:30:00",9.245
"2015-01-02 17:45:00",8.707
"2015-01-02 18:00:00",8.707
"2015-01-02 18:15:00",9.11
"2015-01-02 18:30:00",8.688
"2015-01-02 18:45:00",8.909
"2015-01-02 19:00:00",8.755
"2015-01-02 19:15:00",9.178
"2015-01-02 19:30:00",9.043
"2015-01-02 19:45:00",9.187
"2015-01-02 20:00:00",8.794
"2015-01-02 20:15:00",8.813
"2015-01-02 20:30:00",8.707
"2015-01-02 20:45:00",8.592
"2015-01-02 21:00:00",9.014
"2015-01-02 21:15:00",8.678
"2015-01-02 21:30:00",8.755
"2015-01-02 21:45:00",9.053
"2015-01-02 22:00:00",8.765
"2015-01-02 22:15:00",9.034
"2015-01-02 22:30:00",8.813
"2015-01-02 22:45:00",8.803
"2015-01-02 23:00:00",8.851
"2015-01-02 23:15:00",8.63
"2015-01-02 23:30:00",9.005
"2015-01-02 23:45:00",8.688
"2015-01-03 00:00:00",8.803
"2015-01-03 00:15:00",8.851
"2015-01-03 00:30:00",8.87
"2015-01-03 00:45:00",8.717
"2015-01-03 01:00:00",8.87
"2015-01-03 01:15:00",8.986
"2015-01-03 01:30:00",9.005
"2015-01-03 01:45:00",8.736
"2015-01-03 02:00:00",8.621
"2015-01-03 02:15:00",8.813
"2015-01-03 02:30:00",8.918
"2015-01-03 02:45:00",9.072
"2015-01-03 03:00:00",9.053
